Address,beforeDOTA,afterDOTA,status
14JdzNzaUfq8dPpA1Qyb6GWMG8WjZPx9uET9KimgcMSjHqXx,0.0,148.6,New
15zfc8W4bmsc5EA72VTc1ducCChTEivk7nnp9vm6YZs1HFqL,0.0,70.98,New
12xMpTwSi8vj9JmJ44yzpvaZE4vP7NaCA5tZAuVTmgYqWeuA,0.0,61.24,New
19gH67YY9VUCo8aCpU75m7ETdxNYAtmhR4tqSXA7z2Umpk5,0.0,226.99,New
13YswDWaV1BDc322BTYazYZHob1pxmwZhz8BpcVKLyfDduRZ,0.0,72.56,New
15S1cE8EXcTMgkiobe3Cgy9kd7xyBECDjyaoGj7rddoMuesf,0.0,148.89,New
1QtXRUMBcXELsfSuj8yJLLMtEf3GkUK9jsU3GV6R29KM3bt,0.0,1.01,New
121cTQs9btKzj1Vw6ybZYvjDcyPcEDojVXe1bAaTnFPqdBPj,0.0,148.89,New
16fV7ZyuQJUc7rqK2CNRzYo3RuLkQso2kuwcD3qzGrabTq4r,0.0,1.02,New
14KWbUs5p5ehXtuid1YELiAFapFb5soDHNMwRkx3GtqSSsPn,0.0,18.24,New
13oxYWgNFr2RmHM3vVQH6NS1xXKfNAM5Wzhp7aKdM2keMEmC,0.0,50.35,New
1eRDcwBdEgUgLJGvg5GFQTbMobUsrogmqnDRv7KN65t8fo1,0.0,149.07,New
121YtgAgwtViAw8A9eqxnU1bfMzhCYDrQknUmFiVzeGon1HC,0.0,52.52,New
16Cbpn16qBogZytAYtm42Ld4SaYaGrGmyLj46YKpYTryG6tJ,0.0,52.54,New
156CoQ98ZngNv1Rbqz3uyNgwq29CFpkX7x9psehnZRwHsWbA,0.0,53.22,New
121GEhQWbpv4dhTvvz7QaJCWKvfc1nCkV9qKrMGM5uRMjVze,0.0,53.22,New
15BX1fr3Y1Am35V2cAAAVUYwxgPEhUtgQXAjWoz1Az6TRD9N,0.0,53.88,New
19NoNrWA8PXoArBjV8hzkGRwiCwRY9xMh6CP9ngvbuYxemp,0.0,1.02,New
16m1tD48nhJE5vgdTfdYSacrBrohALPxKJup8xVZxasjw4qS,0.0,55.75,New
15M8zZwm2R1mVFu759diR3AXvFRGBvyuqS5naoUEwzb22vaD,0.0,49.09,New
13BasLoSEyQ2jmMeKBq24mQD6EsyFbEg2jrYBNw5QzJDxqaq,0.0,56.63,New
138RnNA3a4Br9E7scUUXPvRTZTquo5NY7bq1Eebi1kE3kjCv,0.0,56.87,New
12BucGgDcWRWdLWGfLv5rxkBGrVq2xSTRgBAt9vpi3FbpG75,0.0,48.46,New
1UGffwEsTcgRtgHKXbvni2BuAzmJSyLZoqCTeUGV1gtRar7,0.0,38.7,New
16XDQyRps4xc3PFFXn5qHZD2B79W8FSbJbEG6K2YgGhu1f3B,0.0,29.18,New
15oHstBq4VuHutDUEEPrWBehty6wNtnGbPUShENqfwFa4Rnd,0.0,29.02,New
1P33WJWY8sgjP74y9eeUa32DBhNZVf8Tzm2VbWk5zCTwWCj,0.0,29.28,New
14m9HzwLDtyZDSgfmi4kKBihUrkV8h24D3DyNekSmF4715nR,0.0,39.08,New
167Wxz4TC5rZYPL2qHUJqCszwH2FEKmTdLLdqHSjo9S5hGaB,0.0,29.42,New
12HFKcTqGyVGuhLDb2QKbjDCWCwbmbkH5RbN3R8vcqrMKDXk,0.0,30.18,New
12mm1DA21m2Kkv7v5Srn1Cmew68VY4FspHhXiKY7go8qcRK5,0.0,51.11,New
12eWjnnMhXwwuRsyCnS7BTEnraXadezf1ExBKMykHAbYQVaA,0.0,32.75,New
12zvyoUmfePMoShgqFFQxdqmRJGnf1i4DoMgNTSUVZvbyw8q,0.0,1.12,New
1mfngHLccEywo626a6rT7YRJbJauQdCFyktTQMYUTBiFPio,0.0,4.24,New
1Hj9H1uZycRraB58MLDx2SiJ4gYBSey3A7Txn5hi7ExtxZE,103.07,97.45,Old
158BjEjM6eVYGFLggCYRpEngxMwubH4reehBdcvNyvYS3HPs,0.0,1.02,New
